2024-04-17 16:15:46,579 INFO    MainThread:47450 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-04-17 16:15:46,580 INFO    MainThread:47450 [wandb_setup.py:_flush():76] Configure stats pid to 47450
2024-04-17 16:15:46,580 INFO    MainThread:47450 [wandb_setup.py:_flush():76] Loading settings from /hpc_stor03/sjtu_home/zheshu.song/.config/wandb/settings
2024-04-17 16:15:46,580 INFO    MainThread:47450 [wandb_setup.py:_flush():76] Loading settings from /mnt/cloudstorfs/sjtu_home/zheshu.song/icefall-ssl/icefall/egs/gigaspeech2/NST/wandb/settings
2024-04-17 16:15:46,580 INFO    MainThread:47450 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-17 16:15:46,580 INFO    MainThread:47450 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-17 16:15:46,580 INFO    MainThread:47450 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'egs/gigaspeech2/NST/zipformer/train.py', 'program_abspath': '/mnt/cloudstorfs/sjtu_home/zheshu.song/icefall-ssl/icefall/egs/gigaspeech2/NST/zipformer/train.py', 'program': '/mnt/cloudstorfs/sjtu_home/zheshu.song/icefall-ssl/icefall/egs/gigaspeech2/NST/zipformer/train.py'}
2024-04-17 16:15:46,580 INFO    MainThread:47450 [wandb_init.py:_log_setup():524] Logging user logs to /mnt/cloudstorfs/sjtu_home/zheshu.song/icefall-ssl/icefall/egs/gigaspeech2/NST/wandb/run-20240417_161546-kysadkwt/logs/debug.log
2024-04-17 16:15:46,580 INFO    MainThread:47450 [wandb_init.py:_log_setup():525] Logging internal logs to /mnt/cloudstorfs/sjtu_home/zheshu.song/icefall-ssl/icefall/egs/gigaspeech2/NST/wandb/run-20240417_161546-kysadkwt/logs/debug-internal.log
2024-04-17 16:15:46,580 INFO    MainThread:47450 [wandb_init.py:init():564] calling init triggers
2024-04-17 16:15:46,581 INFO    MainThread:47450 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2024-04-17 16:15:46,581 INFO    MainThread:47450 [wandb_init.py:init():614] starting backend
2024-04-17 16:15:46,581 INFO    MainThread:47450 [wandb_init.py:init():618] setting up manager
2024-04-17 16:15:46,584 INFO    MainThread:47450 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-17 16:15:46,591 INFO    MainThread:47450 [wandb_init.py:init():624] backend started and connected
2024-04-17 16:15:46,596 INFO    MainThread:47450 [wandb_init.py:init():716] updated telemetry
2024-04-17 16:15:46,639 INFO    MainThread:47450 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-04-17 16:15:49,028 INFO    MainThread:47450 [wandb_run.py:_on_init():2254] communicating current version
2024-04-17 16:15:54,032 INFO    MainThread:47450 [wandb_run.py:_on_init():2263] got version response 
2024-04-17 16:15:54,032 INFO    MainThread:47450 [wandb_init.py:init():800] starting run threads in backend
2024-04-17 16:16:02,977 INFO    MainThread:47450 [wandb_run.py:_console_start():2233] atexit reg
2024-04-17 16:16:02,977 INFO    MainThread:47450 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-04-17 16:16:02,978 INFO    MainThread:47450 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-04-17 16:16:02,978 INFO    MainThread:47450 [wandb_run.py:_redirect():2178] Redirects installed.
2024-04-17 16:16:02,981 INFO    MainThread:47450 [wandb_init.py:init():841] run started, returning control to user process
